date,n1,n2,n3,n4,n5,n6
2017-10-21,18,16,12,34,37,17
2017-10-19,38,23,45,32,29,22
2017-10-17,6,2,57,22,55,44
2017-10-14,28,3,32,34,37,16
2017-10-11,52,14,19,12,59,25
2017-10-07,8,24,47,26,11,57
2017-10-04,19,57,38,54,4,27
2017-09-30,17,16,60,12,52,1
2017-09-27,20,9,59,54,16,57
2017-09-23,54,10,52,41,44,4
2017-09-21,10,18,24,5,39,52
2017-09-19,30,59,20,32,8,48
2017-09-16,35,48,44,39,36,52
2017-09-13,32,39,13,54,30,46
2017-09-09,19,10,32,60,13,40
2017-09-06,28,26,55,38,48,35
2017-09-02,32,27,48,36,2,50
2017-08-30,34,60,5,4,7,42
2017-08-26,39,5,6,53,15,25
2017-08-23,50,30,25,17,32,26
2017-08-19,43,39,18,25,37,1
2017-08-16,56,43,21,8,27,35
2017-08-12,55,34,22,20,24,15
2017-08-10,23,47,29,2,14,22
2017-08-08,20,40,28,5,8,45
2017-08-05,15,41,45,33,36,27
2017-08-02,40,9,49,25,35,33
2017-07-29,45,29,42,9,43,26
2017-07-26,9,21,53,36,52,38
2017-07-22,55,14,16,21,33,19
2017-07-19,32,21,10,48,34,57
2017-07-15,30,1,14,56,22,6
2017-07-12,28,33,20,24,57,12
2017-07-08,52,59,55,40,8,33
2017-07-06,6,39,4,44,52,60
2017-07-04,8,54,21,10,45,4
2017-07-01,8,57,47,39,9,59
2017-06-28,43,11,39,9,30,12
2017-06-24,48,20,43,18,6,24
